ARRR-69,Documentation: Conclusion,conclusion,Documentation,4h
ARRR-44,Overhead Sprint 3,backlog management,Administration,30m
ARRR-44,Overhead Sprint 3,weekly,Administration,40m
ARRR-38,Overhead Sprint 2,Backlog management,Administration,15m
ARRR-38,Overhead Sprint 2,prepare weekly,Administration,30m
ARRR-38,Overhead Sprint 2,weekly,Administration,30m
ARRR-38,Overhead Sprint 2,sprint start and end,Administration,30m
ARRR-38,Overhead Sprint 2,post meeting stuff,Administration,1h
ARRR-38,Overhead Sprint 2,weekly meeting,Administration,30m
ARRR-38,Overhead Sprint 2,add links to github page,Administration,30m
ARRR-38,Overhead Sprint 2,post meeting stuff,Administration,30m
ARRR-38,Overhead Sprint 2,backlog management,Administration,1h
ARRR-38,Overhead Sprint 2,prepare meeting,Administration,45m
ARRR-38,Overhead Sprint 2,weekly,Administration,30m
ARRR-38,Overhead Sprint 2,post meeting work,Administration,1h
ARRR-37,Use Cases: Literature Research,meeting with librarian,Project,1h
ARRR-37,Use Cases: Literature Research,recherche,Project,1h
ARRR-37,Use Cases: Literature Research,research basics book,Project,1h
ARRR-36,Write Scenarios,scenarios,Project,1h
ARRR-35,Write Personas,personas,Project,1h
ARRR-34,Interviews: Evaluation,interview marco post work,Project,1h
ARRR-34,Interviews: Evaluation,post interview work,Project,2h
ARRR-34,Interviews: Evaluation,stefan interveiew abschrift,Project,1h
ARRR-33,Interviews: Create Guide,interview guide,Project,2h
ARRR-33,Interviews: Create Guide,update interview guide,Project,45m
ARRR-32,Interviews: Execution,marco interview,Project,1h 30m
ARRR-32,Interviews: Execution,interview jürg,Project,1h
ARRR-32,Interviews: Execution,interview zoe,Project,1h 15m
ARRR-32,Interviews: Execution,interview dave,Project,1h 30m
ARRR-32,Interviews: Execution,interview stefan,Project,1h 15m
ARRR-31,Interviews: Arrange Appointments,prepare meetings,Project,1h
ARRR-31,Interviews: Arrange Appointments,send interview requests,Project,30m
ARRR-31,Interviews: Arrange Appointments,interview termin finden,Project,15m
ARRR-31,Interviews: Arrange Appointments,interview termin finden,Project,15m
ARRR-31,Interviews: Arrange Appointments,interview stefan planing,Project,30m
ARRR-21,Interviews: User Research,interview personen,Project,15m
ARRR-20,Use Cases: Branistrom ideas,brainstorm use cases,Project,45m
ARRR-19,Create Timeline,create epics,Administration,30m
ARRR-19,Create Timeline,update descriptions,Administration,15m
ARRR-19,Create Timeline,add milestones,Administration,15m
ARRR-19,Create Timeline,implement feedback from meeting,Administration,2h
ARRR-18,Overhead Sprint 1,Kick off meeting,Administration,45m
ARRR-18,Overhead Sprint 1,backlog management,Administration,2h
ARRR-18,Overhead Sprint 1,meeting post work,Administration,15m
ARRR-18,Overhead Sprint 1,add labels to tickets,Administration,45m
ARRR-18,Overhead Sprint 1,meeting frieder,Administration,45m
ARRR-18,Overhead Sprint 1,post meeting work,Administration,30m
ARRR-9,Setup meeting notes,setup typst meeting notes,Administration,3h
ARRR-8,Setup documentation,create typst document repo with github pipeline and teams integration,Administration,5h
ARRR-8,Setup documentation,add readme,Administration,1h
ARRR-8,Setup documentation,publish pdf to github pages,Administration,15m
ARRR-8,Setup documentation,add index.html,Administration,15m
ARRR-8,Setup documentation,github pages main page,Administration,30m
ARRR-7,Setup Jira,Setup jira,Administration,3h
_,,_,_,216h 10m
